Title,Company,Location,Skills,Link
DATA,INFOWIZ Software Solutions,Chandigarh,"datagathering,datamodels,developcustomdatamodels",https://www.timesjobs.com/job-detail/data-science-infowiz-software-solutions-chandigarh-0-to-3-yrs-jobid-B9Gjfvv6nfpzpSvf__PLUS__uAgZw==&source=srp
Data,ADmyBRAND,Bengaluru / Bangalore,"datamining,api,machinelearning",https://www.timesjobs.com/job-detail/data-science-admybrand-bengaluru-bangalore-0-to-3-yrs-jobid-wvtjQUC5TYxzpSvf__PLUS__uAgZw==&source=srp
Data,WEB SYNERGIES PVT LTD,Hyderabad/Secunderabad,"algorithms,python,informationtechnology,sas,datamining,bi,sql,hadoop,bigdata",https://www.timesjobs.com/job-detail/data-science-web-synergies-pvt-ltd-hyderabad-secunderabad-2-to-5-yrs-jobid-7gzrVqirRQ1zpSvf__PLUS__uAgZw==&source=srp
Data,Visa Inc.,,"ds,bigdata,python,impala,hive,algorithms,datamining,bi,security,hadoop,machinelearning,projectdelivery",https://www.timesjobs.com/job-detail/data-science-visa-inc-5-to-8-yrs-jobid-fsWh3wRK7bhzpSvf__PLUS__uAgZw==&source=srp
Data,The Silicon Partners,"Hyderabad/Secunderabad,  Pune","algorithms,python,rdbms,sas,scala,machinelearning,bigdata",https://www.timesjobs.com/job-detail/data-science-the-silicon-partners-hyderabad-secunderabad-pune-2-to-5-yrs-jobid-iizS__PLUS__CmmyjtzpSvf__PLUS__uAgZw==&source=srp
Data,McKinsey & Company Inc,,"algorithms,css,informationtechnology,bigdata,python,machinelearning",https://www.timesjobs.com/job-detail/data-science-mckinsey-company-inc-0-to-3-yrs-jobid-5A9hJOowTr5zpSvf__PLUS__uAgZw==&source=srp
Data,capgemini,Chennai,"algorithms,python,django,softwareengineering",https://www.timesjobs.com/job-detail/data-science-capgemini-chennai-4-to-7-yrs-jobid-q__SLASH__AttSByMdlzpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Ahmedabad,  Mehsana,  Rajkot,  Jaipur,  Udaipur",.,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-jaipur-udaipur-0-to-1-yrs-jobid-gBL02V9Zf3RzpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Ahmedabad,  Mehsana,  Rajkot,  Jaipur,  Udaipur",.,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-jaipur-udaipur-0-to-1-yrs-jobid-ccJwRD06aAJzpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Ahmedabad,  Mehsana,  Rajkot,  Jaipur,  Udaipur",.,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-jaipur-udaipur-0-to-1-yrs-jobid-aOTP8QGB__PLUS__P5zpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane",.,https://www.timesjobs.com/job-detail/data-science-internship-in-mumbai-maxgen-technologies-mumbai-dombivali-kalyan-navi-mumbai-thane-0-to-1-yrs-jobid-QpV5EY__SLASH__hQbdzpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Ahmedabad,  Mehsana,  Rajkot,  Jaipur,  Udaipur",.,https://www.timesjobs.com/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-mehsana-rajkot-jaipur-udaipur-0-to-1-yrs-jobid-CWKcrA__SLASH__jYC1zpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane",.,https://www.timesjobs.com/job-detail/data-science-internship-in-mumbai-maxgen-technologies-mumbai-dombivali-kalyan-navi-mumbai-thane-0-to-1-yrs-jobid-c9fSYMzDQx1zpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane",.,https://www.timesjobs.com/job-detail/data-science-internship-in-mumbai-maxgen-technologies-mumbai-dombivali-kalyan-navi-mumbai-thane-0-to-1-yrs-jobid-mlQeE5dnryVzpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Pune,  Amravati,  Dhule,  Sangli,  Satara",.,https://www.timesjobs.com/job-detail/data-science-internship-in-pune-maxgen-technologies-pune-amravati-dhule-sangli-satara-0-to-1-yrs-jobid-puamoeK2NwpzpSvf__PLUS__uAgZw==&source=srp
Data,"Maxgen Technologies
     (More Jobs)","Pune,  Amravati,  Aurangabad,  Sangli,  Satara",.,https://www.timesjobs.com/job-detail/data-science-internship-in-pune-maxgen-technologies-pune-amravati-aurangabad-sangli-satara-0-to-1-yrs-jobid-CUu5fXZN1BlzpSvf__PLUS__uAgZw==&source=srp
